ArtID	DisplayName	Icon	Selector	ArtClass	StaminaCost	Cooldown	GlobalCooldown
2	Aimed Blow	GREATER_POWER	2	Generic	25	8s	1.0
3	Akatosh Charge	GREATER_POWER	3	Generic	25	8s	1.0
4	Blood Flurry	GREATER_POWER	4	2H	25	8s	1.0
5	Blood Seeker	GREATER_POWER	5	1H	25	8s	1.0
6	Blood Spiller	GREATER_POWER	6	1H	25	8s	1.0
7	Champion's End	GREATER_POWER	7	1H	25	8s	1.0
8	Crane Style	GREATER_POWER	8	Generic	25	8s	1.0
9	Crushing Blow	GREATER_POWER	9	2H	25	8s	1.0
10	Cyclone Spin	GREATER_POWER	10	Generic	25	8s	1.0
11	Dash Slam	GREATER_POWER	11	Generic	25	8s	1.0
12	Disengage	GREATER_POWER	12	Generic	25	8s	1.0
13	Divided Strike	GREATER_POWER	13	Dual	25	8s	1.0
14	Divine Smite	GREATER_POWER	14	1H	25	8s	1.0
15	Double Slash	GREATER_POWER	15	Generic	25	8s	1.0
16	Dragon Strike	GREATER_POWER	16	Generic	25	8s	1.0
17	Dual Flurry	GREATER_POWER	17	Dual	25	8s	1.0
18	Earth Shatter	GREATER_POWER	18	Generic	25	8s	1.0
19	Eldritch Beam	GREATER_POWER	19	Generic	25	8s	1.0
20	Elegant Slash	GREATER_POWER	20	Generic	25	8s	1.0
21	Enrage (F)	GREATER_POWER	21	Generic	25	8s	1.0
22	Enrage (M)	GREATER_POWER	22	Generic	25	8s	1.0
23	Flurry Strike	GREATER_POWER	23	2H	25	8s	1.0
24	Focused Cross	GREATER_POWER	24	Generic	25	8s	1.0
25	Focused Strike	GREATER_POWER	25	1H	25	8s	1.0
26	Furious Charge	GREATER_POWER	26	2H	25	8s	1.0
27	Furrow Strike	GREATER_POWER	27	2H	25	8s	1.0
28	Head Chopper	GREATER_POWER	28	Dual	25	8s	1.0
29	Head Tap	GREATER_POWER	29	2H	25	8s	1.0
30	Heart Lunge	GREATER_POWER	30	Generic	25	8s	1.0
31	Heart Strike	GREATER_POWER	31	1H	25	8s	1.0
32	Heavy Swing	GREATER_POWER	32	2H	25	8s	1.0
33	High Kick	GREATER_POWER	33	Generic	25	8s	1.0
34	Holding Thorns	GREATER_POWER	34	Dual	25	8s	1.0
35	Iai Slash	GREATER_POWER	35	1H	25	8s	1.0
36	Killing Blow	GREATER_POWER	36	1H	25	8s	1.0
37	Leap Slam	GREATER_POWER	37	2H	25	8s	1.0
38	Long Claw	GREATER_POWER	38	2H	25	8s	1.0
39	Magnetic Throw	GREATER_POWER	39	Generic	25	8s	1.0
40	Night Flurry	GREATER_POWER	40	1H	25	8s	1.0
41	Orbital Cleave	GREATER_POWER	41	Generic	25	8s	1.0
42	Piercing Leap	GREATER_POWER	42	Generic	25	8s	1.0
43	Pirate's Slash	GREATER_POWER	43	1H	25	8s	1.0
44	Point Charge	GREATER_POWER	44	Generic	25	8s	1.0
45	Reaper	GREATER_POWER	45	Generic	25	8s	1.0
46	Ripping Hour	GREATER_POWER	46	Dual	25	8s	1.0
47	Sacrifice Stab	GREATER_POWER	47	1H	25	8s	1.0
48	Shadow Reave	GREATER_POWER	48	2H	25	8s	1.0
49	Shadow Slash	GREATER_POWER	49	2H	25	8s	1.0
50	Shoulder Slam	GREATER_POWER	50	2H	25	8s	1.0
51	Simple Bash	GREATER_POWER	51	Generic	25	8s	1.0
52	Soul Cleaver	GREATER_POWER	52	Generic	25	8s	1.0
53	Soulless Swing	GREATER_POWER	53	1H	25	8s	1.0
54	Subtle Stab	GREATER_POWER	54	Generic	25	8s	1.0
55	Tornado Leap	GREATER_POWER	55	Generic	25	8s	1.0
56	Umbral Torment	GREATER_POWER	56	2H	25	8s	1.0
57	Wicked Throw	GREATER_POWER	57	Generic	25	8s	1.0
58	Wind Slice	GREATER_POWER	58	Dual	25	8s	1.0
