IconName	u0	v0	u1	v1
aow_02_aimed_blow	0.000000	0.000000	0.125000	0.125000
aow_03_akatosh_charge	0.125000	0.000000	0.250000	0.125000
aow_04_blood_flurry	0.250000	0.000000	0.375000	0.125000
aow_05_blood_seeker	0.375000	0.000000	0.500000	0.125000
aow_06_blood_spiller	0.500000	0.000000	0.625000	0.125000
aow_07_champions_end	0.625000	0.000000	0.750000	0.125000
aow_08_crane_style	0.750000	0.000000	0.875000	0.125000
aow_09_crushing_blow	0.875000	0.000000	1.000000	0.125000
aow_10_cyclone_spin	0.000000	0.125000	0.125000	0.250000
aow_11_dash_slam	0.125000	0.125000	0.250000	0.250000
aow_12_disengage	0.250000	0.125000	0.375000	0.250000
aow_13_divided_strike	0.375000	0.125000	0.500000	0.250000
aow_14_divine_smite	0.500000	0.125000	0.625000	0.250000
aow_15_double_slash	0.625000	0.125000	0.750000	0.250000
aow_16_dragon_strike	0.750000	0.125000	0.875000	0.250000
aow_17_dual_flurry	0.875000	0.125000	1.000000	0.250000
aow_18_earth_shatter	0.000000	0.250000	0.125000	0.375000
aow_19_eldritch_beam	0.125000	0.250000	0.250000	0.375000
aow_20_elegant_slash	0.250000	0.250000	0.375000	0.375000
aow_21_enrage_f	0.375000	0.250000	0.500000	0.375000
aow_22_enrage_m	0.500000	0.250000	0.625000	0.375000
aow_23_flurry_strike	0.625000	0.250000	0.750000	0.375000
aow_24_focused_cross	0.750000	0.250000	0.875000	0.375000
aow_25_focused_strike	0.875000	0.250000	1.000000	0.375000
aow_26_furious_charge	0.000000	0.375000	0.125000	0.500000
aow_27_furrow_strike	0.125000	0.375000	0.250000	0.500000
aow_28_head_chopper	0.250000	0.375000	0.375000	0.500000
aow_29_head_tap	0.375000	0.375000	0.500000	0.500000
aow_30_heart_lunge	0.500000	0.375000	0.625000	0.500000
aow_31_heart_strike	0.625000	0.375000	0.750000	0.500000
aow_32_heavy_swing	0.750000	0.375000	0.875000	0.500000
aow_33_high_kick	0.875000	0.375000	1.000000	0.500000
aow_34_holding_thorns	0.000000	0.500000	0.125000	0.625000
aow_35_iai_slash	0.125000	0.500000	0.250000	0.625000
aow_36_killing_blow	0.250000	0.500000	0.375000	0.625000
aow_37_leap_slam	0.375000	0.500000	0.500000	0.625000
aow_38_long_claw	0.500000	0.500000	0.625000	0.625000
aow_39_magnetic_throw	0.625000	0.500000	0.750000	0.625000
aow_40_night_flurry	0.750000	0.500000	0.875000	0.625000
aow_41_orbital_cleave	0.875000	0.500000	1.000000	0.625000
aow_42_piercing_leap	0.000000	0.625000	0.125000	0.750000
aow_43_pirates_slash	0.125000	0.625000	0.250000	0.750000
aow_44_point_charge	0.250000	0.625000	0.375000	0.750000
aow_45_reaper	0.375000	0.625000	0.500000	0.750000
aow_46_ripping_hour	0.500000	0.625000	0.625000	0.750000
aow_47_sacrifice_stab	0.625000	0.625000	0.750000	0.750000
aow_48_shadow_reave	0.750000	0.625000	0.875000	0.750000
aow_49_shadow_slash	0.875000	0.625000	1.000000	0.750000
aow_50_shoulder_slam	0.000000	0.750000	0.125000	0.875000
aow_51_simple_bash	0.125000	0.750000	0.250000	0.875000
aow_52_soul_cleaver	0.250000	0.750000	0.375000	0.875000
aow_53_soulless_swing	0.375000	0.750000	0.500000	0.875000
aow_54_subtle_stab	0.500000	0.750000	0.625000	0.875000
aow_55_tornado_leap	0.625000	0.750000	0.750000	0.875000
aow_56_umbral_torment	0.750000	0.750000	0.875000	0.875000
aow_57_wicked_throw	0.875000	0.750000	1.000000	0.875000
aow_58_wind_slice	0.000000	0.875000	0.125000	1.000000
